Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_Per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep,Total_Amount,Profit
001898f7-b696-4356-91dc-8f2b73d09c63,8/18/2025,US,001a623f-697b-4755-a85a-b29a70bd0a02,Blood,Sports,255.7159466,3,239.3899994,54.36000061,Credit Card,Adult,Female,Chicago,Kathy Ortiz,712.79,-5.38
005e0ad8-c5a2-4130-99eb-58af6d96317a,1/28/2025,India,00034cad-c0ba-4907-84c5-76fe16f632fd,Democrat,Beauty,60.90000153,3,49.45000076,10.53999996,Cash,Senior,Other,Mumbai,Michael Frey,172.16,23.81
009cefe6-6f47-4a52-b441-c931281b9565,7/8/2025,Canada,8740be34-3a9b-4446-ade3-1e91cc623b0e,Magazine,Sports,231.6900024,8,180.2599945,39.61999893,Mobile Payment,Adult,Female,Vancouver,Deborah Thomas,1813.9,371.82
009f0a90-84fa-44e7-91ce-a67a8a82b783,12/2/2025,India,32bc2ef0-188c-4d52-9616-60619acc560d,Wind,Clothing,270.0499878,3,162.75,37.72999954,Credit Card,Senior,Other,Mumbai,Ian Blake,772.42,284.17
00a30472-89a0-4688-9d33-67ea8ccf7aea,11/6/2025,Nigeria,57e25f95-f455-4178-9e2f-0f6079060e87,Difficult,Beauty,456.1199951,3,400.1000061,89.22000122,Credit Card,Adult,Male,Lagos,John Maddox,1279.14,78.84
00e4afc6-f5f3-4a0e-b412-d32931497d5a,7/18/2025,UK,ad827376-2cf9-4a0f-84da-54cac8b3e5c2,Until,Electronics,469.1400146,7,301.6600037,63.49000168,Cash,Adult,Female,Birmingham,Courtney Gray,3220.49,1108.87
00eda44e-39dd-4c5b-9241-a2d35bb4e839,8/9/2025,Nigeria,551def98-2269-470a-9511-142b12b0a008,In,Electronics,191.4100037,4,118.9100037,4.360000134,Mobile Payment,Young,Male,Port Harcourt,Kristy Martinez,761.28,285.64
00fd3cbf-93c2-413d-9a38-656e09fd8c92,10/19/2025,Canada,f98fe624-5d13-4374-849d-fa5c8c711e3b,Sign,Electronics,378.6000061,5,228.3200073,6.570000172,Mobile Payment,Young,Female,Montreal,Jonathan Harrison,1886.43,744.83
0116a5e5-9e15-4cd3-af66-9921516e8c71,3/15/2025,Canada,34bdd1f5-e6cd-4193-98a3-950ea67ebc43,Maintain,Clothing,72.26000214,9,50.84999847,13.64000034,Mobile Payment,Young,Male,Montreal,Gerald Austin,636.7,179.05
013fb4c5-9f2e-4d8b-ae8b-f006d07e8c25,2/8/2025,India,b09b7099-4025-4e69-a531-72cc22918cbe,Ask,Electronics,381.8900146,10,237.1699982,66.43000031,Credit Card,Adult,Male,Delhi,Stephanie Diaz,3752.47,1380.77
01547d7c-ce9d-4f3d-8600-f5d85deeaaf8,7/8/2025,US,cebaa7fe-4d67-4a4c-a124-0425f4f56b2c,Common,Clothing,84.94000244,10,51.47000122,0.689999998,Credit Card,Adult,Female,New York,Maria Young,848.71,334.01
01628653-3128-4314-ab0e-0f7434af5af0,7/7/2025,UK,ce37aa79-4e6e-45ae-9116-93657fcbc156,Represent,Electronics,435.1000061,5,281.8900146,5.21999979,Cash,Senior,Female,London,John Scott,2170.28,760.83
016c7714-aaf9-4430-b2ba-9dbbaa06d82d,7/7/2025,Nigeria,490ca4b0-41f3-452b-b07e-38cf2b27fbc3,TRUE,Clothing,219.4199982,8,168.4400024,40.79000092,Mobile Payment,Adult,Female,Abuja,Ana Hughes,1714.57,367.05
017316ae-c637-443f-990a-7204caa817fe,12/13/2025,US,a49c99d5-e700-4ed2-b6eb-08bca65f9a43,Act,Clothing,219.7899933,7,188.2899933,6.340000153,Cash,Adult,Female,Chicago,Hannah Young,1532.19,214.16
019c6dfc-781a-4a24-b2dc-d72a4c32ebba,10/9/2025,Canada,b7e43ad9-6aa6-4a74-abfe-1974f00d7dd5,Government,Home & Kitchen,121.2099991,1,82.52999878,1.620000005,Credit Card,Young,Male,Toronto,Arthur Dunlap,119.59,37.06
01ad8a02-d1ad-4b7d-9c53-ad038a5005d2,3/23/2025,China,da4f25f0-0bd8-4dca-ba1c-f0025f2ef462,Certainly,Home & Kitchen,481.7900085,10,305.6900024,40.11999893,Credit Card,Senior,Female,Shanghai,Selena Brown PhD,4777.78,1720.88
01bca62e-0c40-41f7-b837-e6c33d9ae3b5,8/28/2025,China,430104dc-4053-4de4-a737-34815a33a3cc,Where,Beauty,449.8699951,7,392.7799988,88.27999878,Mobile Payment,Young,Other,Guangzhou,Elizabeth Bryan,3060.81,311.35
01c1fb93-7c57-4a98-b822-7cbe2eecbdce,3/23/2025,India,ac27ae2a-f72a-468c-b811-2af42a827f64,They,Electronics,317.980011,1,223.3800049,0.07,Mobile Payment,Senior,Female,Mumbai,Dr. Ryan Howell Jr.,317.91,94.53
01d10351-ca49-4b39-9993-848bdc08a1a0,9/29/2025,China,c464455c-ecf1-4804-8b1a-dc46400f4b00,Other,Home & Kitchen,88.95999908,7,77.44999695,9.859999657,Credit Card,Senior,Male,Beijing,Gabriel Williams,612.86,70.71
01d1976a-c0ba-4a79-a896-37042bec0be1,6/15/2025,US,d2204fcb-5901-40b0-8c46-daf977471cce,Lot,Toys,172.5599976,10,134.8500061,11.13000011,Cash,Adult,Other,Chicago,Jerome Collier,1714.47,365.97
01e257c1-c9cd-4165-b30e-ff87973769d7,2/13/2025,US,9b62d0d6-9beb-4df1-9a2a-ce9077808f2c,Picture,Home & Kitchen,221.5299988,1,149.6399994,6.420000076,Cash,Young,Male,Chicago,Nicholas Wilson,215.11,65.47
02159745-8c42-417c-8bf3-30c1ae648aaf,2/17/2025,Nigeria,16fc799b-ee40-4312-b018-b94315cc8ecc,Practice,Electronics,171.4799957,2,112.8600006,23.92000008,Mobile Payment,Senior,Other,Lagos,Gina Gordon,319.04,93.32
02234a91-f598-42af-b50a-c6dc7d5fb41c,12/13/2025,China,2c59f3e1-490b-4397-876b-f5b8580888ba,Girl,Sports,313.6900024,8,280.9700012,2.5,Credit Card,Young,Female,Guangzhou,Joseph Stein,2507.02,259.26
0233f481-d957-4bf8-864f-dce5a464c911,8/6/2025,UK,eff29687-293f-4cba-9b41-cdc1ffe415a7,Weight,Home & Kitchen,129.2700043,9,101.8600006,8.590000153,Mobile Payment,Senior,Male,London,Dwayne Clark,1154.84,238.1
023eb541-2c6c-4dc3-be0f-c83060e0bd55,10/30/2025,UK,29204bc0-752e-4ad9-aa22-20fcd23394a4,Fast,Electronics,285.3099976,1,207.1900024,23.02000046,Mobile Payment,Young,Female,London,William Rodriguez,262.29,55.1
027a9c61-7081-4929-8967-0b5b309d186f,1/26/2025,UK,ba793457-ecea-4436-8ade-af7bbabfdfa9,Evidence,Toys,423.4400024,4,324.2799988,60.36000061,Mobile Payment,Senior,Other,Manchester,Catherine Fritz,1633.4,336.28
02de8b8b-a940-4fa8-9c5d-18c2f4b9e690,8/17/2025,Canada,7e8fd164-48dd-4c6a-959c-354ee9420606,During,Home & Kitchen,331.3299866,8,281.3200073,48.70999908,Cash,Senior,Female,Montreal,Eugene Ferrell,2601.93,351.37
02e38e63-1722-4297-8c9a-4affb2526379,11/20/2025,UK,9fc1d971-90be-40d0-8037-b655a84790c0,Record,Toys,52.29000092,4,38.04999924,0.430000007,Mobile Payment,Young,Female,Manchester,John Solis,208.73,56.53
02f27380-217a-4f9d-afe4-d2e1905bd564,9/1/2025,Nigeria,0e49bbfd-5e9f-4fa0-ac4c-02d7170e1d5c,Get,Clothing,152.3699951,5,119.7699966,26.40999985,Cash,Senior,Other,Lagos,Evelyn York,735.44,136.59
030ba261-9b72-40b8-90a4-a4a1357237f6,7/16/2025,India,388f278a-a02b-4a83-870b-6866aaeeca11,Behavior,Toys,489.8999939,2,295.730011,0.469999999,Cash,Senior,Male,Mumbai,James Wright,979.33,387.87
031b3382-7b93-4e12-a306-a5536298e377,7/16/2025,China,e4817710-d253-4778-9aac-20d0a328661f,Feeling,Sports,400.4899902,4,246.1399994,39.58000183,Mobile Payment,Adult,Male,Guangzhou,Megan Estes,1562.38,577.82
032fbac3-604b-45b7-b3a8-7c5858a50125,10/19/2025,US,e5af37b3-b9b5-4bb2-9c25-19a89ab2a732,Design,Toys,287.0400085,10,206.6699982,52.63000107,Credit Card,Adult,Female,Los Angeles,Brenda Contreras,2817.77,751.07
034b2fd5-3bd7-412e-9873-9caafeb0aff0,6/6/2025,UK,8e7612a7-7874-4ac9-a452-a6ab569e48ac,Present,Clothing,451.4700012,10,332.7799988,88.87000275,Mobile Payment,Adult,Female,Birmingham,Nicolas Moore,4425.83,1098.03
035c8dcd-ace2-4ed7-8af2-14453e15063a,3/3/2025,UK,8bc80997-94fe-43fd-8fcc-d05b53944af1,President,Clothing,372.9200134,4,260.6499939,10.63000011,Mobile Payment,Adult,Female,Birmingham,Lauren Erickson,1481.05,438.45
03a31ac3-7d41-44a6-a3b9-d2c0cfd57641,8/28/2025,Nigeria,e7430dcf-b0a1-4dbf-b933-7dd12a73da85,Also,Clothing,195.9900055,6,143.1100006,36.38000107,Credit Card,Senior,Other,Abuja,Michael Stevens,1139.56,280.9
03a5c448-b806-4c4a-9129-77e63f47b99b,2/16/2025,Canada,8fa779e8-01e5-48ee-baa4-c2e8af8b17bb,Step,Beauty,127.6600037,7,81.02999878,9.5,Mobile Payment,Adult,Other,Toronto,Eric Ellis,884.12,316.91
